ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
36303,Dale County,AL,01045,H1
36353,Dale County,AL,01045,H1
36345,Dale County,AL,01045,H1
36374,Dale County,AL,01045,H1
36360,Dale County,AL,01045,H1
36317,Dale County,AL,01045,H1
36371,Dale County,AL,01045,H1
36350,Dale County,AL,01045,H1
36362,Dale County,AL,01045,H1
36311,Dale County,AL,01045,H1
36330,Dale County,AL,01045,H1
36361,Dale County,AL,01045,H1
36352,Dale County,AL,01045,H1
36761,Dallas County,AL,01047,H1
36767,Dallas County,AL,01047,H1
36701,Dallas County,AL,01047,H1
36773,Dallas County,AL,01047,H1
36758,Dallas County,AL,01047,H1
36785,Dallas County,AL,01047,H1
36759,Dallas County,AL,01047,H1
36749,Dallas County,AL,01047,H1
36703,Dallas County,AL,01047,H1
36775,Dallas County,AL,01047,H1
35962,DeKalb County,AL,01049,H1
35968,DeKalb County,AL,01049,H1
35765,DeKalb County,AL,01049,H1
35984,DeKalb County,AL,01049,H1
35986,DeKalb County,AL,01049,H1
35983,DeKalb County,AL,01049,H1
35971,DeKalb County,AL,01049,H1
35959,DeKalb County,AL,01049,H1
35956,DeKalb County,AL,01049,H1
35989,DeKalb County,AL,01049,H1
35988,DeKalb County,AL,01049,H1
35771,DeKalb County,AL,01049,H1
35957,DeKalb County,AL,01049,H1
35978,DeKalb County,AL,01049,H1
35966,DeKalb County,AL,01049,H1
35963,DeKalb County,AL,01049,H1
35979,DeKalb County,AL,01049,H1
35975,DeKalb County,AL,01049,H1
35967,DeKalb County,AL,01049,H1
35974,DeKalb County,AL,01049,H1
35951,DeKalb County,AL,01049,H1
35981,DeKalb County,AL,01049,H1
35961,DeKalb County,AL,01049,H1
35954,DeKalb County,AL,01049,H1
35010,Elmore County,AL,01051,H1
36054,Elmore County,AL,01051,H1
35136,Elmore County,AL,01051,H1
36051,Elmore County,AL,01051,H1
36022,Elmore County,AL,01051,H1
36066,Elmore County,AL,01051,H1
36080,Elmore County,AL,01051,H1
36024,Elmore County,AL,01051,H1
36026,Elmore County,AL,01051,H1
36025,Elmore County,AL,01051,H1
36020,Elmore County,AL,01051,H1
36067,Elmore County,AL,01051,H1
36093,Elmore County,AL,01051,H1
36078,Elmore County,AL,01051,H1
36092,Elmore County,AL,01051,H1
36420,Escambia County,AL,01053,H1
36483,Escambia County,AL,01053,H1
36543,Escambia County,AL,01053,H1
36441,Escambia County,AL,01053,H1
36502,Escambia County,AL,01053,H1
36562,Escambia County,AL,01053,H1
36426,Escambia County,AL,01053,H1
36432,Escambia County,AL,01053,H1
36475,Escambia County,AL,01053,H1
36503,Escambia County,AL,01053,H1
35902,Etowah County,AL,01055,H1
35905,Etowah County,AL,01055,H1
35906,Etowah County,AL,01055,H1
35954,Etowah County,AL,01055,H1
35956,Etowah County,AL,01055,H1
35957,Etowah County,AL,01055,H1
35903,Etowah County,AL,01055,H1
35972,Etowah County,AL,01055,H1
35952,Etowah County,AL,01055,H1
36272,Etowah County,AL,01055,H1
35990,Etowah County,AL,01055,H1
35904,Etowah County,AL,01055,H1
35901,Etowah County,AL,01055,H1
35121,Etowah County,AL,01055,H1
35907,Etowah County,AL,01055,H1
35961,Etowah County,AL,01055,H1
36271,Etowah County,AL,01055,H1
35574,Fayette County,AL,01057,H1
35594,Fayette County,AL,01057,H1
35545,Fayette County,AL,01057,H1
35546,Fayette County,AL,01057,H1
35554,Fayette County,AL,01057,H1
35555,Fayette County,AL,01057,H1
35579,Fayette County,AL,01057,H1
35549,Fayette County,AL,01057,H1
35563,Fayette County,AL,01057,H1
35559,Fayette County,AL,01057,H1
35542,Fayette County,AL,01057,H1
35616,Franklin County,AL,01059,H1
35654,Franklin County,AL,01059,H1
35593,Franklin County,AL,01059,H1
35585,Franklin County,AL,01059,H1
35582,Franklin County,AL,01059,H1
35571,Franklin County,AL,01059,H1
35565,Franklin County,AL,01059,H1
35581,Franklin County,AL,01059,H1
35653,Franklin County,AL,01059,H1
35674,Franklin County,AL,01059,H1
35564,Franklin County,AL,01059,H1
36344,Geneva County,AL,01061,H1
36313,Geneva County,AL,01061,H1
36453,Geneva County,AL,01061,H1
36375,Geneva County,AL,01061,H1
36318,Geneva County,AL,01061,H1
36322,Geneva County,AL,01061,H1
36477,Geneva County,AL,01061,H1
36340,Geneva County,AL,01061,H1
36352,Geneva County,AL,01061,H1
36316,Geneva County,AL,01061,H1
36301,Geneva County,AL,01061,H1
36314,Geneva County,AL,01061,H1
36442,Geneva County,AL,01061,H1
36305,Geneva County,AL,01061,H1
36349,Geneva County,AL,01061,H1
35462,Greene County,AL,01063,H1
35491,Greene County,AL,01063,H1
35469,Greene County,AL,01063,H1
35480,Greene County,AL,01063,H1
35443,Greene County,AL,01063,H1
35464,Greene County,AL,01063,H1
36740,Greene County,AL,01063,H1
35463,Greene County,AL,01063,H1
35448,Greene County,AL,01063,H1
35441,Hale County,AL,01065,H1
36765,Hale County,AL,01065,H1
36738,Hale County,AL,01065,H1
36744,Hale County,AL,01065,H1
36786,Hale County,AL,01065,H1
36756,Hale County,AL,01065,H1
35474,Hale County,AL,01065,H1
36776,Hale County,AL,01065,H1
36742,Hale County,AL,01065,H1
36303,Henry County,AL,01067,H1
36319,Henry County,AL,01067,H1
36350,Henry County,AL,01067,H1
36353,Henry County,AL,01067,H1
36345,Henry County,AL,01067,H1
36373,Henry County,AL,01067,H1
36310,Henry County,AL,01067,H1
36317,Henry County,AL,01067,H1
36305,Houston County,AL,01069,H1
36345,Houston County,AL,01069,H1
36321,Houston County,AL,01069,H1
36301,Houston County,AL,01069,H1
36352,Houston County,AL,01069,H1
36343,Houston County,AL,01069,H1
36319,Houston County,AL,01069,H1
36320,Houston County,AL,01069,H1
36350,Houston County,AL,01069,H1
36303,Houston County,AL,01069,H1
36312,Houston County,AL,01069,H1
36370,Houston County,AL,01069,H1
36302,Houston County,AL,01069,H1
36376,Houston County,AL,01069,H1
36375,Houston County,AL,01069,H1
35772,Jackson County,AL,01071,H1
35744,Jackson County,AL,01071,H1
35978,Jackson County,AL,01071,H1
35769,Jackson County,AL,01071,H1
35748,Jackson County,AL,01071,H1
35768,Jackson County,AL,01071,H1
35752,Jackson County,AL,01071,H1
35771,Jackson County,AL,01071,H1
35766,Jackson County,AL,01071,H1
35765,Jackson County,AL,01071,H1
35776,Jackson County,AL,01071,H1
35755,Jackson County,AL,01071,H1
35764,Jackson County,AL,01071,H1
35966,Jackson County,AL,01071,H1
35958,Jackson County,AL,01071,H1
35746,Jackson County,AL,01071,H1
35979,Jackson County,AL,01071,H1
35774,Jackson County,AL,01071,H1
35740,Jackson County,AL,01071,H1
35745,Jackson County,AL,01071,H1
35751,Jackson County,AL,01071,H1
35212,Jefferson County,AL,01073,H1
35215,Jefferson County,AL,01073,H1
35173,Jefferson County,AL,01073,H1
35205,Jefferson County,AL,01073,H1
35180,Jefferson County,AL,01073,H1
35232,Jefferson County,AL,01073,H1
35218,Jefferson County,AL,01073,H1
35444,Jefferson County,AL,01073,H1
35048,Jefferson County,AL,01073,H1
35254,Jefferson County,AL,01073,H1
35181,Jefferson County,AL,01073,H1
35079,Jefferson County,AL,01073,H1
35294,Jefferson County,AL,01073,H1
35133,Jefferson County,AL,01073,H1
35130,Jefferson County,AL,01073,H1
35208,Jefferson County,AL,01073,H1
35224,Jefferson County,AL,01073,H1
35202,Jefferson County,AL,01073,H1
35209,Jefferson County,AL,01073,H1
35235,Jefferson County,AL,01073,H1
35091,Jefferson County,AL,01073,H1
35172,Jefferson County,AL,01073,H1
35126,Jefferson County,AL,01073,H1
35061,Jefferson County,AL,01073,H1
35207,Jefferson County,AL,01073,H1
35211,Jefferson County,AL,01073,H1
35217,Jefferson County,AL,01073,H1
35219,Jefferson County,AL,01073,H1
35116,Jefferson County,AL,01073,H1
35062,Jefferson County,AL,01073,H1
35127,Jefferson County,AL,01073,H1
35210,Jefferson County,AL,01073,H1
35214,Jefferson County,AL,01073,H1
35222,Jefferson County,AL,01073,H1
35006,Jefferson County,AL,01073,H1
35023,Jefferson County,AL,01073,H1
35022,Jefferson County,AL,01073,H1
35243,Jefferson County,AL,01073,H1
35244,Jefferson County,AL,01073,H1
35236,Jefferson County,AL,01073,H1
35270,Jefferson County,AL,01073,H1
35295,Jefferson County,AL,01073,H1
35119,Jefferson County,AL,01073,H1
35015,Jefferson County,AL,01073,H1
35139,Jefferson County,AL,01073,H1
35111,Jefferson County,AL,01073,H1
35073,Jefferson County,AL,01073,H1
35117,Jefferson County,AL,01073,H1
35216,Jefferson County,AL,01073,H1
35223,Jefferson County,AL,01073,H1
35020,Jefferson County,AL,01073,H1
35242,Jefferson County,AL,01073,H1
35234,Jefferson County,AL,01073,H1
35231,Jefferson County,AL,01073,H1
35220,Jefferson County,AL,01073,H1
35229,Jefferson County,AL,01073,H1
35123,Jefferson County,AL,01073,H1
35060,Jefferson County,AL,01073,H1
35293,Jefferson County,AL,01073,H1
35206,Jefferson County,AL,01073,H1
35226,Jefferson County,AL,01073,H1
35213,Jefferson County,AL,01073,H1
35228,Jefferson County,AL,01073,H1
35063,Jefferson County,AL,01073,H1
35255,Jefferson County,AL,01073,H1
35146,Jefferson County,AL,01073,H1
35249,Jefferson County,AL,01073,H1
35064,Jefferson County,AL,01073,H1
35005,Jefferson County,AL,01073,H1
35021,Jefferson County,AL,01073,H1
35036,Jefferson County,AL,01073,H1
35285,Jefferson County,AL,01073,H1
35080,Jefferson County,AL,01073,H1
35094,Jefferson County,AL,01073,H1
35068,Jefferson County,AL,01073,H1
35071,Jefferson County,AL,01073,H1
35118,Jefferson County,AL,01073,H1
35204,Jefferson County,AL,01073,H1
35203,Jefferson County,AL,01073,H1
35221,Jefferson County,AL,01073,H1
35201,Jefferson County,AL,01073,H1
35233,Jefferson County,AL,01073,H1
35266,Jefferson County,AL,01073,H1
35259,Jefferson County,AL,01073,H1
35260,Jefferson County,AL,01073,H1
35253,Jefferson County,AL,01073,H1
35261,Jefferson County,AL,01073,H1
35148,Jefferson County,AL,01073,H1
35142,Jefferson County,AL,01073,H1
35586,Lamar County,AL,01075,H1
35574,Lamar County,AL,01075,H1
35544,Lamar County,AL,01075,H1
35552,Lamar County,AL,01075,H1
35576,Lamar County,AL,01075,H1
35592,Lamar County,AL,01075,H1
35555,Lamar County,AL,01075,H1
35570,Lamar County,AL,01075,H1
35563,Lamar County,AL,01075,H1
35677,Lauderdale County,AL,01077,H1
35614,Lauderdale County,AL,01077,H1
35617,Lauderdale County,AL,01077,H1
35633,Lauderdale County,AL,01077,H1
35648,Lauderdale County,AL,01077,H1
35630,Lauderdale County,AL,01077,H1
35634,Lauderdale County,AL,01077,H1
35652,Lauderdale County,AL,01077,H1
35631,Lauderdale County,AL,01077,H1
35645,Lauderdale County,AL,01077,H1
35610,Lauderdale County,AL,01077,H1
35632,Lauderdale County,AL,01077,H1
35650,Lawrence County,AL,01079,H1
35672,Lawrence County,AL,01079,H1
35643,Lawrence County,AL,01079,H1
35651,Lawrence County,AL,01079,H1
35603,Lawrence County,AL,01079,H1
35618,Lawrence County,AL,01079,H1
35654,Lawrence County,AL,01079,H1
35673,Lawrence County,AL,01079,H1
35619,Lawrence County,AL,01079,H1
36865,Lee County,AL,01081,H1
36832,Lee County,AL,01081,H1
36804,Lee County,AL,01081,H1
36849,Lee County,AL,01081,H1
36867,Lee County,AL,01081,H1
36801,Lee County,AL,01081,H1
36831,Lee County,AL,01081,H1
36877,Lee County,AL,01081,H1
36852,Lee County,AL,01081,H1
36830,Lee County,AL,01081,H1
36854,Lee County,AL,01081,H1
36874,Lee County,AL,01081,H1
36866,Lee County,AL,01081,H1
36870,Lee County,AL,01081,H1
36850,Lee County,AL,01081,H1
36879,Lee County,AL,01081,H1
36803,Lee County,AL,01081,H1
35611,Limestone County,AL,01083,H1
35612,Limestone County,AL,01083,H1
35739,Limestone County,AL,01083,H1
35749,Limestone County,AL,01083,H1
35613,Limestone County,AL,01083,H1
35610,Limestone County,AL,01083,H1
35652,Limestone County,AL,01083,H1
35649,Limestone County,AL,01083,H1
35757,Limestone County,AL,01083,H1
35671,Limestone County,AL,01083,H1
35620,Limestone County,AL,01083,H1
35742,Limestone County,AL,01083,H1
35773,Limestone County,AL,01083,H1
35647,Limestone County,AL,01083,H1
35615,Limestone County,AL,01083,H1
35756,Limestone County,AL,01083,H1
35614,Limestone County,AL,01083,H1
36047,Lowndes County,AL,01085,H1
36775,Lowndes County,AL,01085,H1
36040,Lowndes County,AL,01085,H1
36761,Lowndes County,AL,01085,H1
36752,Lowndes County,AL,01085,H1
36785,Lowndes County,AL,01085,H1
36043,Lowndes County,AL,01085,H1
36032,Lowndes County,AL,01085,H1
36701,Lowndes County,AL,01085,H1
36830,Macon County,AL,01087,H1
36866,Macon County,AL,01087,H1
36832,Macon County,AL,01087,H1
36013,Macon County,AL,01087,H1
36075,Macon County,AL,01087,H1
36083,Macon County,AL,01087,H1
36088,Macon County,AL,01087,H1
36804,Macon County,AL,01087,H1
36078,Macon County,AL,01087,H1
36029,Macon County,AL,01087,H1
36039,Macon County,AL,01087,H1
36089,Macon County,AL,01087,H1
36860,Macon County,AL,01087,H1
36879,Macon County,AL,01087,H1
36087,Macon County,AL,01087,H1
35806,Madison County,AL,01089,H1
35807,Madison County,AL,01089,H1
35897,Madison County,AL,01089,H1
35750,Madison County,AL,01089,H1
35814,Madison County,AL,01089,H1
35899,Madison County,AL,01089,H1
35893,Madison County,AL,01089,H1
35810,Madison County,AL,01089,H1
35805,Madison County,AL,01089,H1
35748,Madison County,AL,01089,H1
35756,Madison County,AL,01089,H1
35815,Madison County,AL,01089,H1
35767,Madison County,AL,01089,H1
35763,Madison County,AL,01089,H1
35758,Madison County,AL,01089,H1
35803,Madison County,AL,01089,H1
35808,Madison County,AL,01089,H1
35773,Madison County,AL,01089,H1
35804,Madison County,AL,01089,H1
35760,Madison County,AL,01089,H1
35762,Madison County,AL,01089,H1
35895,Madison County,AL,01089,H1
35898,Madison County,AL,01089,H1
35741,Madison County,AL,01089,H1
35759,Madison County,AL,01089,H1
35739,Madison County,AL,01089,H1
35776,Madison County,AL,01089,H1
35812,Madison County,AL,01089,H1
35802,Madison County,AL,01089,H1
35816,Madison County,AL,01089,H1
35757,Madison County,AL,01089,H1
35813,Madison County,AL,01089,H1
35809,Madison County,AL,01089,H1
35896,Madison County,AL,01089,H1
35801,Madison County,AL,01089,H1
35749,Madison County,AL,01089,H1
35761,Madison County,AL,01089,H1
35811,Madison County,AL,01089,H1
35824,Madison County,AL,01089,H1
35894,Madison County,AL,01089,H1
36745,Marengo County,AL,01091,H1
36738,Marengo County,AL,01091,H1
36728,Marengo County,AL,01091,H1
36722,Marengo County,AL,01091,H1
36904,Marengo County,AL,01091,H1
36763,Marengo County,AL,01091,H1
36784,Marengo County,AL,01091,H1
36751,Marengo County,AL,01091,H1
36732,Marengo County,AL,01091,H1
36748,Marengo County,AL,01091,H1
36754,Marengo County,AL,01091,H1
36736,Marengo County,AL,01091,H1
36783,Marengo County,AL,01091,H1
36782,Marengo County,AL,01091,H1
36773,Marengo County,AL,01091,H1
36742,Marengo County,AL,01091,H1
36764,Marengo County,AL,01091,H1
36786,Marengo County,AL,01091,H1
36769,Marengo County,AL,01091,H1
35565,Marion County,AL,01093,H1
35552,Marion County,AL,01093,H1
35571,Marion County,AL,01093,H1
35581,Marion County,AL,01093,H1
35570,Marion County,AL,01093,H1
35594,Marion County,AL,01093,H1
35563,Marion County,AL,01093,H1
35564,Marion County,AL,01093,H1
35593,Marion County,AL,01093,H1
35548,Marion County,AL,01093,H1
35554,Marion County,AL,01093,H1
35543,Marion County,AL,01093,H1
35016,Marshall County,AL,01095,H1
35976,Marshall County,AL,01095,H1
35087,Marshall County,AL,01095,H1
35975,Marshall County,AL,01095,H1
35754,Marshall County,AL,01095,H1
35747,Marshall County,AL,01095,H1
35755,Marshall County,AL,01095,H1
35962,Marshall County,AL,01095,H1
35956,Marshall County,AL,01095,H1
35964,Marshall County,AL,01095,H1
35175,Marshall County,AL,01095,H1
35760,Marshall County,AL,01095,H1
35776,Marshall County,AL,01095,H1
35957,Marshall County,AL,01095,H1
35980,Marshall County,AL,01095,H1
35769,Marshall County,AL,01095,H1
35951,Marshall County,AL,01095,H1
35950,Marshall County,AL,01095,H1
35952,Marshall County,AL,01095,H1
36688,Mobile County,AL,01097,H1
36505,Mobile County,AL,01097,H1
36618,Mobile County,AL,01097,H1
36608,Mobile County,AL,01097,H1
36611,Mobile County,AL,01097,H1
36602,Mobile County,AL,01097,H1
36590,Mobile County,AL,01097,H1
36670,Mobile County,AL,01097,H1
36560,Mobile County,AL,01097,H1
36521,Mobile County,AL,01097,H1
36575,Mobile County,AL,01097,H1
36544,Mobile County,AL,01097,H1
36619,Mobile County,AL,01097,H1
36652,Mobile County,AL,01097,H1
36685,Mobile County,AL,01097,H1
36528,Mobile County,AL,01097,H1
36522,Mobile County,AL,01097,H1
36525,Mobile County,AL,01097,H1
36571,Mobile County,AL,01097,H1
36572,Mobile County,AL,01097,H1
36582,Mobile County,AL,01097,H1
